分類,分類標題,字號,日期,摘要,關鍵詞,來源檔名
1-4,以多筆共有耕地申請，仍應逐筆審核各筆耕地案,,,1-4 釋以多筆共有耕地申請，仍應逐筆審核各筆耕地案（90年1月29日（90）農企字第900101811號函）查農業發展條例第31條明定「耕地之使用，應符合區域計畫法或都市計畫法土地使用管制之相關法令規定，始得辦理所有權移轉登記。」所稱耕地應就地籍登記之一筆土地為單位，審核該筆耕地是否符合土地使用管制法令規定，俾作為准駁該筆耕地是否得以辦理所有權移轉登記之依據。共有土地所有權人雖可就多筆共有之土地按持分比例集中分管，惟其所有權之移轉登記係各筆土地之共有持分部分，並非其集中分管部分，故申請核發共有持分之各筆農業用地作農業使用證明書時，仍應就申請之土地逐筆審查，始符法制。本案7人共有4筆耕地，其中,釋以多筆共有耕地申請、仍應逐筆審核各筆耕地案、90年1月29日、90、農企字第900101811號函、查農業發展條例第31條明定、耕地之使用、應符合區域計畫法或都市計畫法土地使用管制之相關法令規定、始得辦理所有權移轉登記、所稱耕地應就地籍登記之一筆土地為單位,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0990144290號函,99年7月2日,查農業用地作農業使用證明書僅係證明該農業用地確係作農業使用，以供農地所有權人依據農業發展條例第39條第1項之規定，持憑向稅捐稽徵機關辦理賦稅減免優惠。因此，農業機關受理申請農業用地作農業使用證明書，於現場會勘時雖未通知土地所有權人到場，倘該農業用地確符合作農業使用之認定，其核發之農業用地作農業使用證明書具有證明該農業用地符合作農業使用之確認效力。,查農業用地作農業使用證明書僅係證明該農業用地確係作農業使用、以供農地所有權人依據農業發展條例第39條第1項之規定、持憑向稅捐稽徵機關辦理賦稅減免優惠、因此、農業機關受理申請農業用地作農業使用證明書、於現場會勘時雖未通知土地所有權人到場、倘該農業用地確符合作農業使用之認定、其核發之農業用地作農業使用證明書具有證明該農業用地符合作農業使用之確認效力,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0980120506號函,98年4月10日,一、查農業用地作農業使用認定及核發證明辦法第11條第3項所定「申請人非土地所有權人時，應通知土地所有權人到場。」之立法意旨，係因農業用地作農業使用證明書之申請核發，並未限制申請人應為土地所有權人，承受人或其他權利關係人均得申請。以致有農業用地經不相關之他人提出申請核發農業用地作農業使用證明書，而所有權人卻毫無所悉之情事。該農業用地作農業使用證明書之申請核發雖不致影響該所有權人之權益，卻也因而經常招致土地所有權人之不滿與抗議，故於92年前開辦法修正時，增定該項條文，請受理單位通知土地所有權人，使其知悉前開情事，以避免有不愉快之抗議事件發生。二、至土地所有權人是否到場或委託他人代理到場，則由其自行,查農業用地作農業使用認定及核發證明辦法第11條第3項所定、申請人非土地所有權人時、應通知土地所有權人到場、之立法意旨、係因農業用地作農業使用證明書之申請核發、並未限制申請人應為土地所有權人、承受人或其他權利關係人均得申請、以致有農業用地經不相關之他人提出申請核發農業用地作農業使用證明書、而所有權人卻毫無所悉之情事、該農業用地作農業使用證明書之申請核發雖不致影響該所有權人之權益,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0970109727號函,97年2月27日,一、查農業用地作農業使用認定及核發證明辦法第11條第3項明定「申請人非土地所有權人時，應通知土地所有權人到場。」其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款情形之一，擬申請其所有土地之農業用地作農業使用證明書外，並請其至現場指界，以協助確認其土地之界址範圍，以利審核。如其因故無法親自到場時，亦得委託他人代理，以保障其權益。二、至土地所有權人是否親自到場或委託他人代理宜由其自行衡酌，該農業用地作農業使用證明書之審核作業仍宜繼續遂行。,查農業用地作農業使用認定及核發證明辦法第11條第3項明定、申請人非土地所有權人時、應通知土地所有權人到場、其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款情形之一、擬申請其所有土地之農業用地作農業使用證明書外、並請其至現場指界、以協助確認其土地之界址範圍、以利審核、如其因故無法親自到場時、亦得委託他人代理,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0940158903號函,94年10月31日,查農業用地作農業使用認定及核發證明辦法第11條第2項明定「直轄市或縣（市）政府辦理前項會勘時，應通知『申請人到場指界及說明』，如界址無法確定，應告知申請人向地政機關申請鑑界。」故其指界之責任應以申請人為主。至該條第3項所定「申請人非土地所有權人時，應通知土地所有權人到場。」之立法意旨，係因農業用地作農業使用證明書之申請核發，並未限制申請人應為土地所有權人，其他權利關係人或代理人均得申請。以致有農業用地經他人提出申請農業用地作農業使用證明書之情事，而所有權人卻毫無所悉，該農業用地作農業使用證明書之申請核發雖不致影響該所有權人之權益，卻也可能招致所有權人之抗議，故責以受理單位應通知土地所有權人之義,查農業用地作農業使用認定及核發證明辦法第11條第2項明定、直轄市或縣、政府辦理前項會勘時、應通知、申請人到場指界及說明、如界址無法確定、應告知申請人向地政機關申請鑑界、故其指界之責任應以申請人為主、至該條第3項所定、申請人非土地所有權人時,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0930101902號函,93年1月20日,查農業用地作農業使用認定及核發證明辦法第十一條第三項明定「申請人非土地所有權人時，應通知土地所有權人到場。」其目的除讓該土地所有權人瞭解有申請人為前開辦法第三條各款之情形，擬申請其所有土地之農業用地作農業使用證明書外，並請其至現場指界，以確認其土地之界址範圍。惟如其因故無法親自到場時，亦得委託他人代理，以保障其權益。,查農業用地作農業使用認定及核發證明辦法第十一條第三項明定、申請人非土地所有權人時、應通知土地所有權人到場、其目的除讓該土地所有權人瞭解有申請人為前開辦法第三條各款之情形、擬申請其所有土地之農業用地作農業使用證明書外、並請其至現場指界、以確認其土地之界址範圍、惟如其因故無法親自到場時、亦得委託他人代理、以保障其權益,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0970156968號函,97年10月23日,一、有關金融機構申請法院拍賣債務人之農業用地後，債權人可否申請退還已扣繳之土地增值稅案，財政部曾函釋略以：「查土地稅法第39條之3第2項……法院拍賣之農業用地係屬無須申報土地移轉現值之案件，其合於同法第39條之2第1項規定要件者，依上開規定，應由權利人或義務人提出申請，『債權人』尚不得代位申請不課徵土地增值稅。」所稱權利人或義務人係指該法拍土地之「原」所有權人或承拍後之「現」所有權人而言。因此，本會91年5月2日農企字第0910120824號函所稱「相關權利人」係指前開「原」所有權人或承拍後之「現」所有權人及各該所有權人之代理人。二、至本案債權人可否以權利人身分至現場指界一節，依前開財政部函釋,所有權人或承拍後之、有關金融機構申請法院拍賣債務人之農業用地後、債權人可否申請退還已扣繳之土地增值稅案、財政部曾函釋略以、查土地稅法第39條之3第2項、法院拍賣之農業用地係屬無須申報土地移轉現值之案件、其合於同法第39條之2第1項規定要件者、依上開規定、應由權利人或義務人提出申請、債權人,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0940158903號函,94年10月31日,查農業用地作農業使用認定及核發證明辦法第11條第2項明定「直轄市或縣 (市)政府辦理前項會勘時，應通知『申請人到場指界及說明』，如界址無法確定，應告知申請人向地政機關申請鑑界。」故其指界之責任應以申請人為主。至該條第3項所定「申請人非土地所有權人時，應通知土地所有權人到場。」之立法意旨，係因農業用地作農業使用證明書之申請核發，並未限制申請人應為土地所有權人，其他權利關係人或代理人均得申請。以致有農業用地經他人提出申請農業用地作農業使用證明書之情事，而所有權人卻毫無所悉，該農業用地作農業使用證明書之申請核發雖不致影響該所有權人之權益，卻也可能招致所有權人之抗議，故責以受理單位應通知土地所有權人之,查農業用地作農業使用認定及核發證明辦法第11條第2項明定、直轄市或縣、政府辦理前項會勘時、應通知、申請人到場指界及說明、如界址無法確定、應告知申請人向地政機關申請鑑界、故其指界之責任應以申請人為主、至該條第3項所定、申請人非土地所有權人時,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0930101902號函,93年1月20日,查農業用地作農業使用認定及核發證明辦法第11條第3項明定「申請人非土地所有權人時，應通知土地所有權人到場。」其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款之情形，擬申請其所有土地之農業用地作農業使用證明書外，並請其至現場指界，以確認其土地之界址範圍。惟如其因故無法親自到場時，亦得委託他人代理，以保障其權益。,查農業用地作農業使用認定及核發證明辦法第11條第3項明定、申請人非土地所有權人時、應通知土地所有權人到場、其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款之情形、擬申請其所有土地之農業用地作農業使用證明書外、並請其至現場指界、以確認其土地之界址範圍、惟如其因故無法親自到場時、亦得委託他人代理、以保障其權益,農業使用證明函釋part3.docx
1-5,實地勘查暨到場指界案,字第0930103755號函,93年1月20日,一、查農業用地作農業使用認定及核發證明辦法第11條第3項明定「申請人非土地所有權人時，應通知土地所有權人到場。」其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款之情形，擬申請其所有土地之農業用地作農業使用證明書外，並請其至現場指界，以確認其土地之界址範圍。惟如其因故無法親自到場時，亦得委託他人代理，以保障其權益。二、又前開所稱「應通知『土地所有權人』到場」係指申請農業用地作農業使用證明書之該筆或持份部分農業用地之土地所有權人而言，並非指共有土地之全體共有人。,查農業用地作農業使用認定及核發證明辦法第11條第3項明定、申請人非土地所有權人時、應通知土地所有權人到場、其目的除讓該土地所有權人瞭解有申請人為前開辦法第3條各款之情形、擬申請其所有土地之農業用地作農業使用證明書外、並請其至現場指界、以確認其土地之界址範圍、惟如其因故無法親自到場時、亦得委託他人代理、以保障其權益,農業使用證明函釋part3.docx
